target_gene,peak,spearman_r,TF
RNF220,chr1:44404877-44409048,0.17329188850413096,PRRX1
RNF220,chr1:44404877-44409048,0.17329188850413096,RIT2
RNF220,chr1:44404877-44409048,0.17329188850413096,TAC1
RNF220,chr1:44404877-44409048,0.17329188850413096,NFIA
RNF220,chr1:44404877-44409048,0.17329188850413096,PRDM16
RNF220,chr1:44404877-44409048,0.17329188850413096,ZNF98
RNF220,chr1:44404877-44409048,0.17329188850413096,ZNF208
RNF220,chr1:44404877-44409048,0.17329188850413096,HIF3A
RNF220,chr1:44404877-44409048,0.17329188850413096,EYA1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,MECOM
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,IKZF1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,EBF1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,RUNX1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,ZIC1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,ZFHX3
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,ONECUT1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,TLL1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,RUNX2
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,ERG
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,FLI1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,LEF1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,RFX4
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,SOX6
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,GLI3
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,GLIS3
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,TBX18
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,PRRX1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,RIT2
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,TAC1
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,NFIA
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,PRDM16
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,ZNF98
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,ZNF208
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,HIF3A
AL358075.2,chr1:46273405-46281424,-0.10140856484880126,EYA1
AL358075.2,chr1:46182143-46188988,0.207703008178877,MECOM
AL358075.2,chr1:46182143-46188988,0.207703008178877,IKZF1
AL358075.2,chr1:46182143-46188988,0.207703008178877,EBF1
AL358075.2,chr1:46182143-46188988,0.207703008178877,RUNX1
AL358075.2,chr1:46182143-46188988,0.207703008178877,ZIC1
AL358075.2,chr1:46182143-46188988,0.207703008178877,ZFHX3
AL358075.2,chr1:46182143-46188988,0.207703008178877,ONECUT1
AL358075.2,chr1:46182143-46188988,0.207703008178877,TLL1
AL358075.2,chr1:46182143-46188988,0.207703008178877,RUNX2
AL358075.2,chr1:46182143-46188988,0.207703008178877,ERG
AL358075.2,chr1:46182143-46188988,0.207703008178877,FLI1
AL358075.2,chr1:46182143-46188988,0.207703008178877,LEF1
AL358075.2,chr1:46182143-46188988,0.207703008178877,RFX4
AL358075.2,chr1:46182143-46188988,0.207703008178877,SOX6
AL358075.2,chr1:46182143-46188988,0.207703008178877,GLI3
AL358075.2,chr1:46182143-46188988,0.207703008178877,GLIS3
AL358075.2,chr1:46182143-46188988,0.207703008178877,TBX18
AL358075.2,chr1:46182143-46188988,0.207703008178877,PRRX1
AL358075.2,chr1:46182143-46188988,0.207703008178877,RIT2
AL358075.2,chr1:46182143-46188988,0.207703008178877,TAC1
AL358075.2,chr1:46182143-46188988,0.207703008178877,NFIA
AL358075.2,chr1:46182143-46188988,0.207703008178877,PRDM16
AL358075.2,chr1:46182143-46188988,0.207703008178877,ZNF98
AL358075.2,chr1:46182143-46188988,0.207703008178877,ZNF208
AL358075.2,chr1:46182143-46188988,0.207703008178877,HIF3A
AL358075.2,chr1:46182143-46188988,0.207703008178877,EYA1
ROR1,chr1:63969422-63969713,-0.13237715774890088,MECOM
ROR1,chr1:63969422-63969713,-0.13237715774890088,IKZF1
ROR1,chr1:63969422-63969713,-0.13237715774890088,EBF1
ROR1,chr1:63969422-63969713,-0.13237715774890088,RUNX1
ROR1,chr1:63969422-63969713,-0.13237715774890088,ZIC1
ROR1,chr1:63969422-63969713,-0.13237715774890088,ONECUT1
ROR1,chr1:63969422-63969713,-0.13237715774890088,TLL1
ROR1,chr1:63969422-63969713,-0.13237715774890088,RUNX2
ROR1,chr1:63969422-63969713,-0.13237715774890088,ERG
ROR1,chr1:63969422-63969713,-0.13237715774890088,FLI1
ROR1,chr1:63969422-63969713,-0.13237715774890088,GLI3
ROR1,chr1:63969422-63969713,-0.13237715774890088,GLIS3
ROR1,chr1:63969422-63969713,-0.13237715774890088,TBX18
ROR1,chr1:63969422-63969713,-0.13237715774890088,RIT2
ROR1,chr1:63969422-63969713,-0.13237715774890088,RFX4
ROR1,chr1:63969422-63969713,-0.13237715774890088,SOX6
ROR1,chr1:63969422-63969713,-0.13237715774890088,NFIA
ROR1,chr1:63969422-63969713,-0.13237715774890088,PRDM16
ROR1,chr1:63969422-63969713,-0.13237715774890088,ZNF98
ROR1,chr1:63969422-63969713,-0.13237715774890088,ZNF208
ROR1,chr1:63969422-63969713,-0.13237715774890088,LEF1
ROR1,chr1:63969422-63969713,-0.13237715774890088,EYA1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,MECOM
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,IKZF1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,EBF1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,RUNX1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,ZFHX3
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,ONECUT1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,TLL1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,RUNX2
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,ERG
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,FLI1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,LEF1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,RFX4
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,SOX6
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,GLIS3
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,TBX18
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,PRRX1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,GLI3
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,RIT2
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,ZIC1
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,NFIA
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,PRDM16
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,ZNF98
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,ZNF208
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,HIF3A
AL591463.1,chr1:73953341-73953907,-0.12483434792684742,EYA1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,MECOM
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,IKZF1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,EBF1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,RUNX1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,ZIC1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,ZFHX3
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,ONECUT1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,TLL1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,RUNX2
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,ERG
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,FLI1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,LEF1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,RFX4
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,SOX6
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,GLI3
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,GLIS3
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,TBX18
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,PRRX1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,RIT2
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,TAC1
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,NFIA
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,PRDM16
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,ZNF98
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,ZNF208
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,HIF3A
AL445426.1,chr1:112501350-112518655,-0.20906597180155742,EYA1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,MECOM
ATP1A2,chr1:160057869-160064073,0.16177554885976644,IKZF1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,EBF1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,RUNX1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,ZIC1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,ZFHX3
ATP1A2,chr1:160057869-160064073,0.16177554885976644,ONECUT1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,TLL1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,RUNX2
ATP1A2,chr1:160057869-160064073,0.16177554885976644,ERG
ATP1A2,chr1:160057869-160064073,0.16177554885976644,FLI1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,LEF1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,RFX4
ATP1A2,chr1:160057869-160064073,0.16177554885976644,SOX6
ATP1A2,chr1:160057869-160064073,0.16177554885976644,GLI3
ATP1A2,chr1:160057869-160064073,0.16177554885976644,GLIS3
ATP1A2,chr1:160057869-160064073,0.16177554885976644,TBX18
ATP1A2,chr1:160057869-160064073,0.16177554885976644,PRRX1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,RIT2
ATP1A2,chr1:160057869-160064073,0.16177554885976644,TAC1
ATP1A2,chr1:160057869-160064073,0.16177554885976644,NFIA
ATP1A2,chr1:160057869-160064073,0.16177554885976644,PRDM16
ATP1A2,chr1:160057869-160064073,0.16177554885976644,ZNF98
ATP1A2,chr1:160057869-160064073,0.16177554885976644,ZNF208
ATP1A2,chr1:160057869-160064073,0.16177554885976644,HIF3A
ATP1A2,chr1:160057869-160064073,0.16177554885976644,EYA1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,MECOM
ATP1A2,chr1:160064679-160071061,0.26443022688928136,IKZF1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,EBF1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,RUNX1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,ZIC1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,ZFHX3
ATP1A2,chr1:160064679-160071061,0.26443022688928136,ONECUT1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,TLL1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,RUNX2
ATP1A2,chr1:160064679-160071061,0.26443022688928136,ERG
ATP1A2,chr1:160064679-160071061,0.26443022688928136,FLI1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,LEF1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,RFX4
ATP1A2,chr1:160064679-160071061,0.26443022688928136,SOX6
ATP1A2,chr1:160064679-160071061,0.26443022688928136,GLI3
ATP1A2,chr1:160064679-160071061,0.26443022688928136,GLIS3
ATP1A2,chr1:160064679-160071061,0.26443022688928136,TBX18
ATP1A2,chr1:160064679-160071061,0.26443022688928136,PRRX1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,RIT2
ATP1A2,chr1:160064679-160071061,0.26443022688928136,TAC1
ATP1A2,chr1:160064679-160071061,0.26443022688928136,NFIA
ATP1A2,chr1:160064679-160071061,0.26443022688928136,PRDM16
ATP1A2,chr1:160064679-160071061,0.26443022688928136,ZNF98
ATP1A2,chr1:160064679-160071061,0.26443022688928136,ZNF208
ATP1A2,chr1:160064679-160071061,0.26443022688928136,HIF3A
ATP1A2,chr1:160064679-160071061,0.26443022688928136,EYA1
HSPA6,chr1:161492835-161493213,0.12247448713915891,MECOM
HSPA6,chr1:161492835-161493213,0.12247448713915891,IKZF1
HSPA6,chr1:161492835-161493213,0.12247448713915891,EBF1
HSPA6,chr1:161492835-161493213,0.12247448713915891,RUNX1
HSPA6,chr1:161492835-161493213,0.12247448713915891,ZIC1
HSPA6,chr1:161492835-161493213,0.12247448713915891,ZFHX3
HSPA6,chr1:161492835-161493213,0.12247448713915891,ONECUT1
HSPA6,chr1:161492835-161493213,0.12247448713915891,TLL1
HSPA6,chr1:161492835-161493213,0.12247448713915891,RUNX2
HSPA6,chr1:161492835-161493213,0.12247448713915891,ERG
HSPA6,chr1:161492835-161493213,0.12247448713915891,FLI1
HSPA6,chr1:161492835-161493213,0.12247448713915891,LEF1
HSPA6,chr1:161492835-161493213,0.12247448713915891,RFX4
HSPA6,chr1:161492835-161493213,0.12247448713915891,SOX6
HSPA6,chr1:161492835-161493213,0.12247448713915891,GLI3
HSPA6,chr1:161492835-161493213,0.12247448713915891,GLIS3
HSPA6,chr1:161492835-161493213,0.12247448713915891,TBX18
HSPA6,chr1:161492835-161493213,0.12247448713915891,RIT2
HSPA6,chr1:161492835-161493213,0.12247448713915891,TAC1
HSPA6,chr1:161492835-161493213,0.12247448713915891,NFIA
HSPA6,chr1:161492835-161493213,0.12247448713915891,ZNF98
HSPA6,chr1:161492835-161493213,0.12247448713915891,ZNF208
HSPA6,chr1:161492835-161493213,0.12247448713915891,HIF3A
HSPA6,chr1:161492835-161493213,0.12247448713915891,PRDM16
PRRX1,chr1:170661144-170668740,0.10666439364739651,MECOM
PRRX1,chr1:170661144-170668740,0.10666439364739651,IKZF1
PRRX1,chr1:170661144-170668740,0.10666439364739651,EBF1
PRRX1,chr1:170661144-170668740,0.10666439364739651,RUNX1
PRRX1,chr1:170661144-170668740,0.10666439364739651,ZIC1
PRRX1,chr1:170661144-170668740,0.10666439364739651,ZFHX3
PRRX1,chr1:170661144-170668740,0.10666439364739651,ONECUT1
PRRX1,chr1:170661144-170668740,0.10666439364739651,TLL1
PRRX1,chr1:170661144-170668740,0.10666439364739651,RUNX2
PRRX1,chr1:170661144-170668740,0.10666439364739651,ERG
PRRX1,chr1:170661144-170668740,0.10666439364739651,FLI1
PRRX1,chr1:170661144-170668740,0.10666439364739651,LEF1
PRRX1,chr1:170661144-170668740,0.10666439364739651,RFX4
PRRX1,chr1:170661144-170668740,0.10666439364739651,SOX6
PRRX1,chr1:170661144-170668740,0.10666439364739651,GLI3
PRRX1,chr1:170661144-170668740,0.10666439364739651,GLIS3
PRRX1,chr1:170661144-170668740,0.10666439364739651,TBX18
PRRX1,chr1:170661144-170668740,0.10666439364739651,RIT2
PRRX1,chr1:170661144-170668740,0.10666439364739651,TAC1
PRRX1,chr1:170661144-170668740,0.10666439364739651,NFIA
PRRX1,chr1:170661144-170668740,0.10666439364739651,PRDM16
PRRX1,chr1:170661144-170668740,0.10666439364739651,ZNF98
PRRX1,chr1:170661144-170668740,0.10666439364739651,ZNF208
PRRX1,chr1:170661144-170668740,0.10666439364739651,HIF3A
PRRX1,chr1:170661144-170668740,0.10666439364739651,EYA1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,MECOM
LINC01344,chr1:182128858-182129811,-0.13114345239092157,IKZF1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,EBF1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,RUNX1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,ZIC1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,ZFHX3
LINC01344,chr1:182128858-182129811,-0.13114345239092157,ONECUT1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,TLL1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,RUNX2
LINC01344,chr1:182128858-182129811,-0.13114345239092157,ERG
LINC01344,chr1:182128858-182129811,-0.13114345239092157,FLI1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,LEF1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,RFX4
LINC01344,chr1:182128858-182129811,-0.13114345239092157,SOX6
LINC01344,chr1:182128858-182129811,-0.13114345239092157,GLI3
LINC01344,chr1:182128858-182129811,-0.13114345239092157,GLIS3
LINC01344,chr1:182128858-182129811,-0.13114345239092157,TBX18
LINC01344,chr1:182128858-182129811,-0.13114345239092157,PRRX1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,RIT2
LINC01344,chr1:182128858-182129811,-0.13114345239092157,TAC1
LINC01344,chr1:182128858-182129811,-0.13114345239092157,NFIA
LINC01344,chr1:182128858-182129811,-0.13114345239092157,PRDM16
LINC01344,chr1:182128858-182129811,-0.13114345239092157,ZNF98
LINC01344,chr1:182128858-182129811,-0.13114345239092157,ZNF208
LINC01344,chr1:182128858-182129811,-0.13114345239092157,HIF3A
LINC01344,chr1:182128858-182129811,-0.13114345239092157,EYA1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,MECOM
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,IKZF1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,EBF1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,RUNX1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,ZIC1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,ZFHX3
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,ONECUT1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,TLL1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,RUNX2
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,ERG
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,FLI1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,LEF1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,RFX4
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,SOX6
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,GLI3
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,GLIS3
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,TBX18
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,PRRX1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,RIT2
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,TAC1
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,NFIA
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,PRDM16
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,ZNF98
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,ZNF208
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,HIF3A
AC096637.1,chr1:211489677-211493750,-0.1221081019618518,EYA1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,MECOM
ITPKB,chr1:226560205-226571217,-0.20142664502641205,IKZF1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,EBF1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,RUNX1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,ZIC1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,ZFHX3
ITPKB,chr1:226560205-226571217,-0.20142664502641205,ONECUT1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,TLL1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,RUNX2
ITPKB,chr1:226560205-226571217,-0.20142664502641205,ERG
ITPKB,chr1:226560205-226571217,-0.20142664502641205,FLI1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,LEF1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,RFX4
ITPKB,chr1:226560205-226571217,-0.20142664502641205,SOX6
ITPKB,chr1:226560205-226571217,-0.20142664502641205,GLI3
ITPKB,chr1:226560205-226571217,-0.20142664502641205,GLIS3
ITPKB,chr1:226560205-226571217,-0.20142664502641205,TBX18
ITPKB,chr1:226560205-226571217,-0.20142664502641205,PRRX1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,RIT2
ITPKB,chr1:226560205-226571217,-0.20142664502641205,TAC1
ITPKB,chr1:226560205-226571217,-0.20142664502641205,NFIA
ITPKB,chr1:226560205-226571217,-0.20142664502641205,PRDM16
ITPKB,chr1:226560205-226571217,-0.20142664502641205,ZNF98
ITPKB,chr1:226560205-226571217,-0.20142664502641205,ZNF208
ITPKB,chr1:226560205-226571217,-0.20142664502641205,HIF3A
ITPKB,chr1:226560205-226571217,-0.20142664502641205,EYA1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,MECOM
ITPKB,chr1:226600006-226611387,-0.19301296133075693,IKZF1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,EBF1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,RUNX1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,ZIC1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,ZFHX3
ITPKB,chr1:226600006-226611387,-0.19301296133075693,ONECUT1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,TLL1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,RUNX2
ITPKB,chr1:226600006-226611387,-0.19301296133075693,ERG
ITPKB,chr1:226600006-226611387,-0.19301296133075693,FLI1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,LEF1
ITPKB,chr1:226600006-226611387,-0.19301296133075693,RFX4
