motif_id,peak
M07242,chr10:126917385-126918582
M07260,chr10:126917385-126918582
M07276,chr10:126917385-126918582
M07284,chr10:126917385-126918582
M07292,chr10:126917385-126918582
M07305,chr10:126917385-126918582
M07344,chr10:126917385-126918582
M07345,chr10:126917385-126918582
M07351,chr10:126917385-126918582
M07357,chr10:126917385-126918582
M07382,chr10:126917385-126918582
M07411,chr10:126917385-126918582
M07433,chr10:126917385-126918582
M07605,chr10:126917385-126918582
M07968,chr10:126917385-126918582
M07969,chr10:126917385-126918582
M08008,chr10:126917385-126918582
M08281,chr10:126917385-126918582
M08282,chr10:126917385-126918582
M08283,chr10:126917385-126918582
M08284,chr10:126917385-126918582
M08285,chr10:126917385-126918582
M08289,chr10:126917385-126918582
M08445,chr10:126917385-126918582
M08468,chr10:126917385-126918582
M08469,chr10:126917385-126918582
M08470,chr10:126917385-126918582
M08471,chr10:126917385-126918582
M08472,chr10:126917385-126918582
M08481,chr10:126917385-126918582
M08487,chr10:126917385-126918582
M08510,chr10:126917385-126918582
M08574,chr10:126917385-126918582
M08637,chr10:126917385-126918582
M08656,chr10:126917385-126918582
M08741,chr10:126917385-126918582
M08766,chr10:126917385-126918582
M08785,chr10:126917385-126918582
M08792,chr10:126917385-126918582
M08793,chr10:126917385-126918582
M08835,chr10:126917385-126918582
M08865,chr10:126917385-126918582
M08866,chr10:126917385-126918582
M08880,chr10:126917385-126918582
M08881,chr10:126917385-126918582
M08899,chr10:126917385-126918582
M08902,chr10:126917385-126918582
M08913,chr10:126917385-126918582
M08948,chr10:126917385-126918582
M08975,chr10:126917385-126918582
M09275,chr10:126917385-126918582
M09598,chr10:126917385-126918582
M09608,chr10:126917385-126918582
M09613,chr10:126917385-126918582
M09653,chr10:126917385-126918582
M09679,chr10:126917385-126918582
M09685,chr10:126917385-126918582
M09885,chr10:126917385-126918582
M09907,chr10:126917385-126918582
M09920,chr10:126917385-126918582
M09949,chr10:126917385-126918582
M09975,chr10:126917385-126918582
M10052,chr10:126917385-126918582
M10053,chr10:126917385-126918582
M10091,chr10:126917385-126918582
M10198,chr10:126917385-126918582
M10222,chr10:126917385-126918582
M10234,chr10:126917385-126918582
M10262,chr10:126917385-126918582
M10281,chr10:126917385-126918582
M10348,chr10:126917385-126918582
M10360,chr10:126917385-126918582
M00078,chr10:15689532-15690436
M00079,chr10:15689532-15690436
M00080,chr10:15689532-15690436
M00081,chr10:15689532-15690436
M00082,chr10:15689532-15690436
M00087,chr10:15689532-15690436
M00141,chr10:15689532-15690436
M00261,chr10:15689532-15690436
M00271,chr10:15689532-15690436
M00448,chr10:15689532-15690436
M00639,chr10:15689532-15690436
M00679,chr10:15689532-15690436
M00731,chr10:15689532-15690436
M00751,chr10:15689532-15690436
M00769,chr10:15689532-15690436
M00771,chr10:15689532-15690436
M00805,chr10:15689532-15690436
M00971,chr10:15689532-15690436
M00975,chr10:15689532-15690436
M00977,chr10:15689532-15690436
M00978,chr10:15689532-15690436
M00984,chr10:15689532-15690436
M01014,chr10:15689532-15690436
M01022,chr10:15689532-15690436
M01037,chr10:15689532-15690436
M01079,chr10:15689532-15690436
M01080,chr10:15689532-15690436
M01169,chr10:15689532-15690436
M01231,chr10:15689532-15690436
M01262,chr10:15689532-15690436
M01596,chr10:15689532-15690436
M01657,chr10:15689532-15690436
M01658,chr10:15689532-15690436
M01704,chr10:15689532-15690436
M01752,chr10:15689532-15690436
M01809,chr10:15689532-15690436
M01856,chr10:15689532-15690436
M01871,chr10:15689532-15690436
M01892,chr10:15689532-15690436
M01985,chr10:15689532-15690436
M02002,chr10:15689532-15690436
M02019,chr10:15689532-15690436
M02038,chr10:15689532-15690436
M02062,chr10:15689532-15690436
M02073,chr10:15689532-15690436
M02084,chr10:15689532-15690436
M02267,chr10:15689532-15690436
M02371,chr10:15689532-15690436
M02774,chr10:15689532-15690436
M02789,chr10:15689532-15690436
M02835,chr10:15689532-15690436
M02878,chr10:15689532-15690436
M02939,chr10:15689532-15690436
M03155,chr10:15689532-15690436
M03794,chr10:15689532-15690436
M03829,chr10:15689532-15690436
M03857,chr10:15689532-15690436
M03888,chr10:15689532-15690436
M03905,chr10:15689532-15690436
M03930,chr10:15689532-15690436
M03955,chr10:15689532-15690436
M03964,chr10:15689532-15690436
M03975,chr10:15689532-15690436
M03988,chr10:15689532-15690436
M03989,chr10:15689532-15690436
M04003,chr10:15689532-15690436
M04056,chr10:15689532-15690436
M04099,chr10:15689532-15690436
M04106,chr10:15689532-15690436
M04107,chr10:15689532-15690436
M04108,chr10:15689532-15690436
M04630,chr10:15689532-15690436
M04633,chr10:15689532-15690436
M04729,chr10:15689532-15690436
M04924,chr10:15689532-15690436
M05489,chr10:15689532-15690436
M05603,chr10:15689532-15690436
M05713,chr10:15689532-15690436
M05714,chr10:15689532-15690436
M05962,chr10:15689532-15690436
M06019,chr10:15689532-15690436
M06021,chr10:15689532-15690436
M06043,chr10:15689532-15690436
M06044,chr10:15689532-15690436
M06048,chr10:15689532-15690436
M06049,chr10:15689532-15690436
M06051,chr10:15689532-15690436
M06084,chr10:15689532-15690436
M06946,chr10:15689532-15690436
M06950,chr10:15689532-15690436
M07046,chr10:15689532-15690436
M07088,chr10:15689532-15690436
M07089,chr10:15689532-15690436
M07124,chr10:15689532-15690436
M07128,chr10:15689532-15690436
M07207,chr10:15689532-15690436
M07242,chr10:15689532-15690436
M07260,chr10:15689532-15690436
M07276,chr10:15689532-15690436
M07284,chr10:15689532-15690436
M07292,chr10:15689532-15690436
M07305,chr10:15689532-15690436
M07344,chr10:15689532-15690436
M07345,chr10:15689532-15690436
M07351,chr10:15689532-15690436
M07357,chr10:15689532-15690436
M07382,chr10:15689532-15690436
M07411,chr10:15689532-15690436
M07433,chr10:15689532-15690436
M07604,chr10:15689532-15690436
M07605,chr10:15689532-15690436
M07968,chr10:15689532-15690436
M07969,chr10:15689532-15690436
M08008,chr10:15689532-15690436
M08283,chr10:15689532-15690436
M08284,chr10:15689532-15690436
M08285,chr10:15689532-15690436
M08289,chr10:15689532-15690436
M08445,chr10:15689532-15690436
M08468,chr10:15689532-15690436
M08471,chr10:15689532-15690436
M08472,chr10:15689532-15690436
M08481,chr10:15689532-15690436
M08487,chr10:15689532-15690436
M08510,chr10:15689532-15690436
M08574,chr10:15689532-15690436
M08637,chr10:15689532-15690436
M08656,chr10:15689532-15690436
M08741,chr10:15689532-15690436
M08766,chr10:15689532-15690436
M08785,chr10:15689532-15690436
M08792,chr10:15689532-15690436
M08793,chr10:15689532-15690436
M08794,chr10:15689532-15690436
M08835,chr10:15689532-15690436
M08865,chr10:15689532-15690436
M08866,chr10:15689532-15690436
M08880,chr10:15689532-15690436
M08881,chr10:15689532-15690436
M08899,chr10:15689532-15690436
M08902,chr10:15689532-15690436
M08913,chr10:15689532-15690436
M08948,chr10:15689532-15690436
M08975,chr10:15689532-15690436
M09275,chr10:15689532-15690436
M09598,chr10:15689532-15690436
M09608,chr10:15689532-15690436
M09613,chr10:15689532-15690436
M09653,chr10:15689532-15690436
M09679,chr10:15689532-15690436
M09685,chr10:15689532-15690436
M09885,chr10:15689532-15690436
M09907,chr10:15689532-15690436
M09920,chr10:15689532-15690436
M09975,chr10:15689532-15690436
M10052,chr10:15689532-15690436
M10053,chr10:15689532-15690436
M10091,chr10:15689532-15690436
M10198,chr10:15689532-15690436
M10222,chr10:15689532-15690436
M10234,chr10:15689532-15690436
M10281,chr10:15689532-15690436
M10348,chr10:15689532-15690436
M10360,chr10:15689532-15690436
M00011,chr10:15718628-15720305
M00078,chr10:15718628-15720305
M00079,chr10:15718628-15720305
M00080,chr10:15718628-15720305
M00081,chr10:15718628-15720305
M00082,chr10:15718628-15720305
M00086,chr10:15718628-15720305
M00087,chr10:15718628-15720305
M00088,chr10:15718628-15720305
M00141,chr10:15718628-15720305
M00261,chr10:15718628-15720305
M00271,chr10:15718628-15720305
M00448,chr10:15718628-15720305
M00639,chr10:15718628-15720305
M00679,chr10:15718628-15720305
M00731,chr10:15718628-15720305
M00751,chr10:15718628-15720305
M00769,chr10:15718628-15720305
M00771,chr10:15718628-15720305
M00805,chr10:15718628-15720305
M00971,chr10:15718628-15720305
M00975,chr10:15718628-15720305
M00977,chr10:15718628-15720305
M00978,chr10:15718628-15720305
M00984,chr10:15718628-15720305
M01014,chr10:15718628-15720305
M01022,chr10:15718628-15720305
M01037,chr10:15718628-15720305
M01079,chr10:15718628-15720305
M01080,chr10:15718628-15720305
M01169,chr10:15718628-15720305
M01208,chr10:15718628-15720305
M01231,chr10:15718628-15720305
M01262,chr10:15718628-15720305
M01348,chr10:15718628-15720305
M01596,chr10:15718628-15720305
M01657,chr10:15718628-15720305
M01658,chr10:15718628-15720305
M01704,chr10:15718628-15720305
M01752,chr10:15718628-15720305
M01809,chr10:15718628-15720305
M01856,chr10:15718628-15720305
M01871,chr10:15718628-15720305
M01892,chr10:15718628-15720305
M01985,chr10:15718628-15720305
M02002,chr10:15718628-15720305
M02019,chr10:15718628-15720305
M02038,chr10:15718628-15720305
M02062,chr10:15718628-15720305
M02073,chr10:15718628-15720305
M02084,chr10:15718628-15720305
M02267,chr10:15718628-15720305
M02371,chr10:15718628-15720305
M02774,chr10:15718628-15720305
M02789,chr10:15718628-15720305
M02835,chr10:15718628-15720305
M02878,chr10:15718628-15720305
M02893,chr10:15718628-15720305
M02939,chr10:15718628-15720305
M03155,chr10:15718628-15720305
M03794,chr10:15718628-15720305
M03829,chr10:15718628-15720305
M03857,chr10:15718628-15720305
M03888,chr10:15718628-15720305
M03905,chr10:15718628-15720305
M03930,chr10:15718628-15720305
M03955,chr10:15718628-15720305
M03964,chr10:15718628-15720305
M03975,chr10:15718628-15720305
M03976,chr10:15718628-15720305
M03988,chr10:15718628-15720305
M03989,chr10:15718628-15720305
M04003,chr10:15718628-15720305
M04056,chr10:15718628-15720305
M04099,chr10:15718628-15720305
M04100,chr10:15718628-15720305
M04106,chr10:15718628-15720305
M04107,chr10:15718628-15720305
M04108,chr10:15718628-15720305
M04431,chr10:15718628-15720305
M04432,chr10:15718628-15720305
M04630,chr10:15718628-15720305
M04633,chr10:15718628-15720305
M04729,chr10:15718628-15720305
M04924,chr10:15718628-15720305
M05489,chr10:15718628-15720305
M05603,chr10:15718628-15720305
M05713,chr10:15718628-15720305
M05714,chr10:15718628-15720305
M05946,chr10:15718628-15720305
M05962,chr10:15718628-15720305
M06019,chr10:15718628-15720305
M06021,chr10:15718628-15720305
M06042,chr10:15718628-15720305
M06043,chr10:15718628-15720305
M06044,chr10:15718628-15720305
M06048,chr10:15718628-15720305
M06049,chr10:15718628-15720305
M06051,chr10:15718628-15720305
M06084,chr10:15718628-15720305
M06946,chr10:15718628-15720305
M06950,chr10:15718628-15720305
M07046,chr10:15718628-15720305
M07088,chr10:15718628-15720305
M07089,chr10:15718628-15720305
M07124,chr10:15718628-15720305
M07128,chr10:15718628-15720305
M07207,chr10:15718628-15720305
M07242,chr10:15718628-15720305
M07260,chr10:15718628-15720305
M07276,chr10:15718628-15720305
M07284,chr10:15718628-15720305
M07292,chr10:15718628-15720305
M07305,chr10:15718628-15720305
M07344,chr10:15718628-15720305
M07345,chr10:15718628-15720305
M07351,chr10:15718628-15720305
M07357,chr10:15718628-15720305
M07382,chr10:15718628-15720305
M07411,chr10:15718628-15720305
M07433,chr10:15718628-15720305
M07604,chr10:15718628-15720305
M07605,chr10:15718628-15720305
M07968,chr10:15718628-15720305
M07969,chr10:15718628-15720305
M08008,chr10:15718628-15720305
M08281,chr10:15718628-15720305
M08283,chr10:15718628-15720305
M08284,chr10:15718628-15720305
M08285,chr10:15718628-15720305
M08289,chr10:15718628-15720305
M08445,chr10:15718628-15720305
M08468,chr10:15718628-15720305
M08469,chr10:15718628-15720305
M08470,chr10:15718628-15720305
M08471,chr10:15718628-15720305
M08472,chr10:15718628-15720305
M08481,chr10:15718628-15720305
M08487,chr10:15718628-15720305
M08574,chr10:15718628-15720305
M08637,chr10:15718628-15720305
M08741,chr10:15718628-15720305
M08766,chr10:15718628-15720305
M08785,chr10:15718628-15720305
M08792,chr10:15718628-15720305
M08793,chr10:15718628-15720305
M08835,chr10:15718628-15720305
M08865,chr10:15718628-15720305
M08866,chr10:15718628-15720305
M08880,chr10:15718628-15720305
M08881,chr10:15718628-15720305
M08899,chr10:15718628-15720305
M08902,chr10:15718628-15720305
M08913,chr10:15718628-15720305
M08948,chr10:15718628-15720305
M08975,chr10:15718628-15720305
M09598,chr10:15718628-15720305
M09608,chr10:15718628-15720305
M09613,chr10:15718628-15720305
M09653,chr10:15718628-15720305
M09679,chr10:15718628-15720305
M09685,chr10:15718628-15720305
M09885,chr10:15718628-15720305
M09907,chr10:15718628-15720305
M09920,chr10:15718628-15720305
M09949,chr10:15718628-15720305
M09975,chr10:15718628-15720305
M10052,chr10:15718628-15720305
M10053,chr10:15718628-15720305
M10198,chr10:15718628-15720305
M10222,chr10:15718628-15720305
M10234,chr10:15718628-15720305
M10262,chr10:15718628-15720305
M10281,chr10:15718628-15720305
M10348,chr10:15718628-15720305
M10360,chr10:15718628-15720305
M00011,chr10:17673567-17674096
M00078,chr10:17673567-17674096
M00079,chr10:17673567-17674096
M00081,chr10:17673567-17674096
M00086,chr10:17673567-17674096
M00087,chr10:17673567-17674096
M00088,chr10:17673567-17674096
M00141,chr10:17673567-17674096
M00261,chr10:17673567-17674096
M00271,chr10:17673567-17674096
M00448,chr10:17673567-17674096
M00639,chr10:17673567-17674096
M00679,chr10:17673567-17674096
M00731,chr10:17673567-17674096
M00751,chr10:17673567-17674096
M00769,chr10:17673567-17674096
M00771,chr10:17673567-17674096
M00805,chr10:17673567-17674096
M00971,chr10:17673567-17674096
M00978,chr10:17673567-17674096
M00984,chr10:17673567-17674096
M01169,chr10:17673567-17674096
M01231,chr10:17673567-17674096
M01262,chr10:17673567-17674096
M01348,chr10:17673567-17674096
M01657,chr10:17673567-17674096
M01658,chr10:17673567-17674096
M01704,chr10:17673567-17674096
M01752,chr10:17673567-17674096
M01809,chr10:17673567-17674096
M01856,chr10:17673567-17674096
M01871,chr10:17673567-17674096
M01892,chr10:17673567-17674096
M02002,chr10:17673567-17674096
M02019,chr10:17673567-17674096
M02062,chr10:17673567-17674096
M02073,chr10:17673567-17674096
M02084,chr10:17673567-17674096
M02267,chr10:17673567-17674096
M02371,chr10:17673567-17674096
M02774,chr10:17673567-17674096
M02835,chr10:17673567-17674096
M02878,chr10:17673567-17674096
M02893,chr10:17673567-17674096
M02939,chr10:17673567-17674096
M03155,chr10:17673567-17674096
M03794,chr10:17673567-17674096
M03829,chr10:17673567-17674096
M03857,chr10:17673567-17674096
M03888,chr10:17673567-17674096
M03905,chr10:17673567-17674096
M03930,chr10:17673567-17674096
M03975,chr10:17673567-17674096
M04003,chr10:17673567-17674096
M04056,chr10:17673567-17674096
M04099,chr10:17673567-17674096
M04100,chr10:17673567-17674096
M04106,chr10:17673567-17674096
M04107,chr10:17673567-17674096
M04108,chr10:17673567-17674096
M04432,chr10:17673567-17674096
M04630,chr10:17673567-17674096
M04633,chr10:17673567-17674096
M04924,chr10:17673567-17674096
M05489,chr10:17673567-17674096
M05603,chr10:17673567-17674096
M05713,chr10:17673567-17674096
M05714,chr10:17673567-17674096
M05946,chr10:17673567-17674096
M05962,chr10:17673567-17674096
M06019,chr10:17673567-17674096
M06044,chr10:17673567-17674096
M06048,chr10:17673567-17674096
M06049,chr10:17673567-17674096
M06051,chr10:17673567-17674096
M06084,chr10:17673567-17674096
M06946,chr10:17673567-17674096
M06950,chr10:17673567-17674096
M07046,chr10:17673567-17674096
M07124,chr10:17673567-17674096
M07128,chr10:17673567-17674096
M07207,chr10:17673567-17674096
M07242,chr10:17673567-17674096
M07260,chr10:17673567-17674096
M07276,chr10:17673567-17674096
M07284,chr10:17673567-17674096
M07344,chr10:17673567-17674096
M07345,chr10:17673567-17674096
M07351,chr10:17673567-17674096
M07357,chr10:17673567-17674096
M07411,chr10:17673567-17674096
M07604,chr10:17673567-17674096
M07605,chr10:17673567-17674096
M07968,chr10:17673567-17674096
M07969,chr10:17673567-17674096
M08008,chr10:17673567-17674096
M08285,chr10:17673567-17674096
M08445,chr10:17673567-17674096
M08468,chr10:17673567-17674096
M08470,chr10:17673567-17674096
M08471,chr10:17673567-17674096
M08487,chr10:17673567-17674096
M08510,chr10:17673567-17674096
M08637,chr10:17673567-17674096
M08656,chr10:17673567-17674096
M08766,chr10:17673567-17674096
M08785,chr10:17673567-17674096
M08792,chr10:17673567-17674096
M08793,chr10:17673567-17674096
M08835,chr10:17673567-17674096
M08865,chr10:17673567-17674096
M08866,chr10:17673567-17674096
M08880,chr10:17673567-17674096
M08881,chr10:17673567-17674096
M08899,chr10:17673567-17674096
M08902,chr10:17673567-17674096
M08948,chr10:17673567-17674096
M08975,chr10:17673567-17674096
M09275,chr10:17673567-17674096
M09598,chr10:17673567-17674096
M09608,chr10:17673567-17674096
M09653,chr10:17673567-17674096
M09679,chr10:17673567-17674096
M09685,chr10:17673567-17674096
M09885,chr10:17673567-17674096
M09949,chr10:17673567-17674096
M09975,chr10:17673567-17674096
M10052,chr10:17673567-17674096
M10053,chr10:17673567-17674096
M10091,chr10:17673567-17674096
M10198,chr10:17673567-17674096
M10234,chr10:17673567-17674096
M10262,chr10:17673567-17674096
M10281,chr10:17673567-17674096
M10348,chr10:17673567-17674096
M10360,chr10:17673567-17674096
M00011,chr10:23692607-23696721
M00078,chr10:23692607-23696721
M00079,chr10:23692607-23696721
M00080,chr10:23692607-23696721
M00081,chr10:23692607-23696721
M00082,chr10:23692607-23696721
M00086,chr10:23692607-23696721
M00087,chr10:23692607-23696721
M00088,chr10:23692607-23696721
M00141,chr10:23692607-23696721
M00261,chr10:23692607-23696721
M00271,chr10:23692607-23696721
M00448,chr10:23692607-23696721
M00616,chr10:23692607-23696721
M00639,chr10:23692607-23696721
M00679,chr10:23692607-23696721
M00731,chr10:23692607-23696721
M00751,chr10:23692607-23696721
M00769,chr10:23692607-23696721
M00771,chr10:23692607-23696721
M00805,chr10:23692607-23696721
M00971,chr10:23692607-23696721
M00975,chr10:23692607-23696721
M00977,chr10:23692607-23696721
M00978,chr10:23692607-23696721
M00984,chr10:23692607-23696721
M01014,chr10:23692607-23696721
M01022,chr10:23692607-23696721
M01037,chr10:23692607-23696721
M01079,chr10:23692607-23696721
M01080,chr10:23692607-23696721
M01169,chr10:23692607-23696721
M01208,chr10:23692607-23696721
M01231,chr10:23692607-23696721
M01262,chr10:23692607-23696721
M01348,chr10:23692607-23696721
M01596,chr10:23692607-23696721
M01657,chr10:23692607-23696721
M01658,chr10:23692607-23696721
M01704,chr10:23692607-23696721
M01752,chr10:23692607-23696721
M01809,chr10:23692607-23696721
M01856,chr10:23692607-23696721
M01871,chr10:23692607-23696721
M01892,chr10:23692607-23696721
M01985,chr10:23692607-23696721
M02002,chr10:23692607-23696721
